"İl, medeni durum ve cinsiyete göre nüfus, 2022-2023",,,,,,,,,,,,,,,,,,,,
"Population by province, marital status and sex, 2022-2023",,,,,,,,,,,,,,,,,,,,
[15 ve daha yukarı yaştaki nüfus-Population 15 years of age and over],,,,,,,,,,,,,,,,,,,,
"Yıl
Year",İl-Provinces,Toplam-Total,,,,Hiç evlenmedi-Never married,,,,Evli-Married,,,,Boşandı-Divorced,,,,Eşi öldü-Widowed,,
,,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female"
,Denizli, 855 246, 422 260, 432 986,, 204 865, 120 248, 84 617,, 546 253, 272 629, 273 624,, 48 052, 21 566, 26 486,, 56 076, 7 817, 48 259
,Diyarbakır,1 233 198, 617 731, 615 467,, 452 438, 245 503, 206 935,, 716 298, 357 026, 359 272,, 19 892, 8 389, 11 503,, 44 570, 6 813, 37 757
,Edirne, 354 102, 177 086, 177 016,, 88 809, 53 092, 35 717,, 218 135, 110 202, 107 933,, 17 160, 8 800, 8 360,, 29 998, 4 992, 25 006
,Elazığ, 466 025, 227 844, 238 181,, 142 507, 76 924, 65 583,, 280 938, 140 488, 140 450,, 14 570, 6 296, 8 274,, 28 010, 4 136, 23 874
,Erzincan, 194 862, 98 360, 96 502,, 59 094, 34 059, 25 035,, 116 047, 58 939, 57 108,, 6 562, 3 244, 3 318,, 13 159, 2 118, 11 041
,Erzurum, 567 971, 279 955, 288 016,, 186 273, 100 727, 85 546,, 337 495, 169 049, 168 446,, 10 165, 4 672, 5 493,, 34 038, 5 507, 28 531
,Eskişehir, 749 285, 370 188, 379 097,, 202 804, 117 070, 85 734,, 451 898, 226 457, 225 441,, 43 299, 19 299, 24 000,, 51 284, 7 362, 43 922
,Gaziantep,1 490 588, 748 778, 741 810,, 437 781, 249 010, 188 771,, 944 279, 471 755, 472 524,, 47 765, 19 675, 28 090,, 60 763, 8 338, 52 425
,Giresun, 380 775, 189 146, 191 629,, 95 881, 55 534, 40 347,, 235 859, 120 289, 115 570,, 15 472, 8 288, 7 184,, 33 563, 5 035, 28 528
,Gümüşhane, 120 390, 60 192, 60 198,, 39 654, 21 502, 18 152,, 69 838, 35 793, 34 045,, 2 808, 1 571, 1 237,, 8 090, 1 326, 6 764
